"Var2";"Var1";"value";"Group1";"Specialization1";"Focus1";"Group2";"Specialization2";"Focus2"
"Agriculture.com";"HealthMap";1;"EBS tool";"general";"international";"online news source";"specialized";"international"
"American Veterinary Medical Association";"Twitter";2;"social platform";"general";"international";"research org.";"specialized";"national"
"Antara News";"Twitter";1;"social platform";"general";"international";"press agency";"general";"national"
"Avian Flu Diary";"Twitter";3;"social platform";"general";"international";"social platform";"specialized";"international"
"Bhutan Vet Auth";"OIE";1;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Bihar animal husbandry department";"The Moveefy";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"Bulgaria's National Reference Laboratory";"Bulgaria Vet Auth";1;"national vet auth.";"specialized";"national";"laboratory";"specialized";"national"
"Bulgaria Vet Auth";"Reuters";7;"press agency";"general";"international";"national vet auth.";"specialized";"national"
"Bulgaria Vet Auth";"KFGO News";1;"radio, TV";"general";"international";"national vet auth.";"specialized";"national"
"Bulgaria Vet Auth";"Novinite.com (Sofia News Agency)";1;"press agency";"general";"international";"national vet auth.";"specialized";"national"
"Bureau of Animal and Plant Health Inspection and Quarantine (Taiwan)";"Focus Taiwan";1;"press agency";"general";"national";"local off. auth.";"specialized";"local"
"Business Standard";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"international"
"Cambodia Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Channel NewsAsia";"HealthMap";3;"EBS tool";"general";"international";"online news source";"general";"international"
"Chief of Agricultural Service, Bandarlampung";"Antara News";1;"press agency";"general";"national";"local vet auth.";"specialized";"local"
"Chief vet of the state";"News Agency of Nigeria";1;"press agency";"general";"national";"national vet auth.";"specialized";"national"
"Chief Veterinary Officer of the Plateau State";"News Agency of Nigeria";2;"press agency";"general";"national";"local vet auth.";"specialized";"local"
"China Animal Disease Control Center";"Taiwan News";2;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"China Animal Disease Control Center";"Focus Taiwan";2;"press agency";"general";"national";"national vet auth.";"specialized";"national"
"China Animal Health and Epidemiolology Center";"Reuters";2;"press agency";"general";"international";"national vet auth.";"specialized";"national"
"China Vet Auth";"Reuters";3;"press agency";"general";"international";"national vet auth.";"specialized";"national"
"China Vet Auth";"Shine News";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"China Vet Auth";"Channel NewsAsia";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"Crofsblog";"Twitter";2;"social platform";"general";"international";"social platform";"specialized";"international"
"Daily Trust";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Denmark Vet Auth";"OIE";1;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"District Animal Husbandry Department";"India Vet Auth";1;"national vet auth.";"specialized";"national";"national vet auth.";"specialized";"national"
"District Animal Husbandry Department";"Hindustantimes";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"District Animal Husbandry Department";"HindiNews";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"Divisionnal commissioner";"Times of India";1;"online news source";"general";"national";"national off. auth.";"general";"national"
"Down To Earth Magazine";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Egypt Vet Auth";"FluTrackers";1;"social platform";"specialized";"international";"national vet auth.";"specialized";"national"
"Emirates247";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Financial Tribune";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Fisheries and Animal Ressources Developpment Department";"Crofsblog";1;"social platform";"specialized";"international";"national vet auth.";"specialized";"national"
"Fisheries and Animal Ressources Developpment Department";"Odisha Bytes";1;"online news source";"general";"local";"national vet auth.";"specialized";"national"
"Fisheries and Animal Ressources Developpment Department";"Down To Earth Magazine";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"FluTrackers";"Twitter";4;"social platform";"general";"international";"social platform";"specialized";"international"
"Focus News";"HealthMap";2;"EBS tool";"general";"international";"press agency";"general";"international"
"Focus Taiwan";"HealthMap";4;"EBS tool";"general";"international";"press agency";"general";"national"
"Free Malaysia Today";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"Gaya administrator";"Times of India";1;"online news source";"general";"national";"local off. auth.";"general";"local"
"HindiNews";"FluTrackers";1;"social platform";"specialized";"international";"online news source";"general";"national"
"Hindustantimes";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"Hon Dat District animal husbandry division";"VietnamNews";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"India's government";"The Indian Tribune";1;"online news source";"general";"national";"national off. auth.";"general";"national"
"India Chief Conservator of Forests Bihar";"Avian Flu Diary";1;"social platform";"specialized";"international";"local off. auth.";"specialized";"local"
"India Today";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"national"
"India Vet Auth";"Times of India";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"India Vet Auth";"FluTrackers";1;"social platform";"specialized";"international";"national vet auth.";"specialized";"national"
"India Vet Auth";"Zeenews";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"India Vet Auth";"ProMED";1;"EBS tool";"specialized";"international";"national vet auth.";"specialized";"national"
"India Vet Auth";"Fisheries and Animal Ressources Developpment Department";1;"national vet auth.";"specialized";"national";"national vet auth.";"specialized";"national"
"Iran Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"kalingaTV";"HealthMap";1;"EBS tool";"general";"international";"radio, TV";"general";"national"
"KFGO News";"HealthMap";1;"EBS tool";"general";"international";"radio, TV";"general";"international"
"Khmer Times";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"KNUJ";"HealthMap";1;"EBS tool";"general";"international";"radio, TV";"general";"national"
"Korea's ministry of environment";"Yonhap News";1;"press agency";"general";"international";"national off. auth.";"specialized";"national"
"Korea's ministry of environment";"Avian Flu Diary";1;"social platform";"specialized";"international";"national off. auth.";"specialized";"national"
"Kuwait's ministry of environment";"Kuwait news agency";1;"press agency";"general";"national";"national off. auth.";"specialized";"national"
"Kuwait news agency";"HealthMap";1;"EBS tool";"general";"international";"press agency";"general";"national"
"Kuwait Vet Auth";"OIE";3;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Leader Telegram";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Long An Department of Agriculture and Rural Development";"Xinhua";1;"press agency";"general";"international";"local vet auth.";"specialized";"local"
"Malaysia Vet Auth";"OIE";1;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Malaysia Vet Auth";"Free Malaysia Today";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"MENAFN";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Namibia Vet Auth";"The Namibian";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"Namibia Vet Auth";"Xinhua";1;"press agency";"general";"international";"national vet auth.";"specialized";"national"
"Nepal's Department of Livestock Services";"Setopati";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"News Agency of Nigeria";"Daily Trust";1;"online news source";"general";"international";"press agency";"general";"national"
"News Agency of Nigeria";"Pulse.ng";1;"online news source";"general";"international";"press agency";"general";"national"
"News Agency of Nigeria";"Today.ng";1;"online news source";"general";"national";"press agency";"general";"national"
"NIHSAD";"Business Standard";1;"online news source";"general";"international";"laboratory";"specialized";"national"
"NIHSAD";"Times of India";2;"online news source";"general";"national";"laboratory";"specialized";"national"
"NIHSAD";"kalingaTV";1;"radio, TV";"general";"national";"laboratory";"specialized";"national"
